Colonia,Lon,Lat,Id
"RINCONADA DE SAN PEDRO (37280)",-101.634860443954,21.1205122329532,309
"VALLE DE SAN PEDRO (37287)",-101.631667980193,21.1265514727723,310
"ZONA CLUB DEPORTIVO (37287)",-101.631263272682,21.1204754201046,311
"FRACCIONES DEL CRESPO (37287)",-101.627239647392,21.1155124304544,312
"RES SAN ANGEL (37287)",-101.629435050787,21.1173095924638,313
"FRACC PORTON DE BUGAMBILIAS (37289)",-101.645546317109,21.1162816394861,314
"FRACCIONES SAN PEDRO (37289)",-101.632275817575,21.1146557767428,315
"GRANJAS CERES (37289)",-101.634921651813,21.1133328578252,316
"LA HACIENDITA (37289)",-101.639027341139,21.1152993109145,317
"RES NIZA (37289)",-101.644122203777,21.1144423919029,318
"RES VILLAS BUGAMBILIAS (37289)",-101.646630555056,21.1149646210205,319
"RES VILLAS DE GUADALUPE (37289)",-101.644275796291,21.1139015261346,320
"SAN JORGE (37289)",-101.63697556577,21.1156224229365,321
"BARRIO DE GUADALUPE (37289)",-101.642975641013,21.1130644605565,322
"FRACC HACIENDA DE BUGAMBILIA (37289)",-101.645786776938,21.1168537683868,323
"EL CARMEN (CTM) (37296)",-101.601943175137,21.1192907782469,324
"EL VERGEL (JESUS MARIA) (37296)",-101.60069351949,21.1322402243069,325
"FRACCIONES JESUS MARIA (37296)",-101.611797117843,21.1231343772498,326
"HACIENDA SAN ANGEL (37296)",-101.617797034805,21.1238866547454,327
"MAGISTERIAL (37296)",-101.62157039226,21.1175849450892,328
"PEDREGAL DEL GIGANTE (37296)",-101.61680827698,21.124651674735,329
"SAN JOSE DEL POTRERO (37296)",-101.598287440013,21.1281994921129,330
"DESARROLLO EL POTRERO (37296)",-101.599827284402,21.1234526707042,331
"EJIDO LEON (37296)",-101.600622291386,21.1279430180559,332
"BRISAS DE SAN FRANCISCO (37297)",-101.597457435912,21.099534603739,333
"BRISAS DE SAN NICOLAS (37297)",-101.604337933049,21.1033529551748,334
"BRISAS DEL CAMPO (37297)",-101.613076618391,21.1086696068169,335
"BRISAS DEL CAMPO II (37297)",-101.606826800516,21.107639502661,336
"BRISAS DEL CARMEN (37297)",-101.601439997258,21.104843382716,337
"FRACC AGUA AZUL III (37297)",-101.610650941788,21.1038786610714,338
"INDUSTRIAL BRISAS DEL CAMPO (37297)",-101.62037943896,21.1072544480344,339
"INDUSTRIAL LA CAPILLA (37297)",-101.622176481359,21.1112558258957,340
"LUCERO (37297)",-101.59802183514,21.0979546235071,341
"PORTON DE LOS GIRASOLES (37297)",-101.616030149372,21.107097255534,342
"RES BRISAS DEL CARMEN (37297)",-101.603539459179,21.1082884003894,343
"VALLE DE LA LUZ (37297)",-101.601468749483,21.101358089804,344
"AGUA AZUL (37297)",-101.614082958861,21.1037982571839,345
"AGUA AZUL NORTE (37297)",-101.612278898153,21.1108375745944,346
"PUNTO VERDE (37298)",-101.635823035105,21.1077379838209,347
"EL CARMEN (37299)",-101.608018396832,21.116814866413,348
"FRACC RIO GRANDE (37299)",-101.600696467468,21.1076226259834,349
"FRACC VILLAS DEL ROCIO (37299)",-101.594976102065,21.0951670336318,350
"MARSOL II (37299)",-101.589482519603,21.1049410778685,351
"MEZQUITAL DEL CARMEN (37299)",-101.60005648292,21.1136766830326,352
"NUEVO AMANECER (37299)",-101.603880767184,21.1170853555048,353
"PEDREGAL DEL CARMEN (37299)",-101.607002322999,21.1134562061391,354
"PIEDRA AZUL 1RA SECC (37299)",-101.596212838951,21.0955267021956,355
"PIEDRA AZUL 2DA SECC (37299)",-101.59385140272,21.1011611130949,356
"PORTONES DEL CARMEN (37299)",-101.603583062808,21.1122160302456,357
"PRADOS DE LA LUZ (37299)",-101.59597124148,21.1066066231971,358
"PRADOS DE SAN NICOLAS (37299)",-101.597591952906,21.0947261697769,359
"RES EL CARMEN (37299)",-101.612152167488,21.1145225718593,360
"RES EL CARMEN 2DA SECC (37299)",-101.608468754829,21.1193023678101,361
"RES SAN CARLOS (37299)",-101.616296667957,21.1143592666669,362
"VALLE DEL CARMEN (37299)",-101.596663424477,21.1173792530502,363
"VILLA GRANDE (37299)",-101.595936203893,21.1190659018699,364
"VILLAS DE GUANAJUATO (37299)",-101.594736332016,21.0974926858389,365
"VILLAS DEL CARMEN (37299)",-101.599155194956,21.1149087866112,366
"AMPL DEL CARMEN (37299)",-101.597995682854,21.1178532425332,367
"COLINAS DEL CARMEN (37299)",-101.598521998491,21.116051942743,368
"LINDAVISTA (37300)",-101.704311579116,21.1450216761095,369
"LOMAS DE LA TRINIDAD (37300)",-101.69562440784,21.1413277476775,370
"GRANADA (37306)",-101.699500875265,21.1447124514186,371
"INFONAVIT GRANADA (37306)",-101.699708174393,21.1425313445459,372
"PILETAS I Y II (37310)",-101.703923649357,21.1388280460775,373
"PILETAS III (37316)",-101.712370018162,21.1391062378626,374
"PILETAS IV (37316)",-101.716523562213,21.1403197848302,375
"FRACCIONES SAN JOSE DE LAS PILETAS (37317)",-101.718123471421,21.1450046375541,376
"PANORAMICO (37317)",-101.72259273057,21.1387010132412,377
